Timestamp,Asset Class,Entry Type,Symbol,Amount,Balance After,Notes
2026-04-09T20:02:51.448Z,stock,FILL,UAL,-39.0350702,351.3156278533481,"Paper entry: UAL × 0.400894 @ 97.3700"
2026-04-09T20:02:43.281Z,stock,FILL,UAL,39.0278535075,390.3506980533481,"Exit: Stop hit at 97.37"
2026-04-09T20:01:37.455Z,stock,FILL,UAL,-39.03587156,351.3228445458481,"Paper entry: UAL × 0.400902 @ 97.3700"
2026-04-09T20:01:37.437Z,stock,FILL,CCL,-43.37319081,390.3587161058481,"Paper entry: CCL × 1.553631 @ 27.9173"
2026-04-09T19:53:29.419Z,stock,FILL,META,22.9811149672,433.73190691584807,"Partial exit 50% at TP1 634.16"
2026-04-09T19:33:36.509Z,crypto,FEE,HYPE/USD,-0.08198461,409.96034463442004,""
2026-04-09T19:33:36.505Z,crypto,FILL,HYPE/USD,20.4961528314,410.04232924442005,"Partial exit 50% at TP1 39.5700"
2026-04-09T19:33:04.616Z,crypto,FEE,NEAR/USD,-0.10253921,389.54617641302,""
2026-04-09T19:33:04.612Z,crypto,FILL,NEAR/USD,25.634802093020003,389.64871562302,"Partial exit 50% at TP1 1.3730"
2026-04-09T18:50:51.787Z,stock,FILL,META,-45.6389747,410.75079194864804,"Paper entry: META × 0.072477 @ 629.7000"
2026-04-09T18:11:13.609Z,stock,FILL,HUT,22.731344753628,456.38976664864805,"Exit: Stop hit at 63.66"
2026-04-09T17:47:29.776Z,stock,FILL,HUT,23.266873834299997,433.65842189502007,"Partial exit 50% at TP1 64.97"
2026-04-09T17:45:48.225Z,stock,FILL,HUT,-45.59906117,410.3915480607201,"Paper entry: HUT × 0.716234 @ 63.6650"
2026-04-09T17:37:58.720Z,stock,FILL,META,40.68600981912,455.99060923072005,"Exit: Stop hit at 623.66"
2026-04-09T17:33:41.428Z,stock,FILL,AXTI,20.9902754986,415.30459941160007,"Partial exit 50% at TP1 56.66"
